Japanese	English
【123】ダークハンド_左手	[ 123 ] dark hand _ the left hand
【123】ダークハンド_左手／魔砲発動時	[ 123 ] Dark Hand _ left hand / magic gun upon activation
【123】ダークハンド_片手近距離	[ 123 ] Dark Hand _ one hand a short distance
【123】ダークハンド_ガード_片手	[ 123 ] Dark Hand guard _ _ one hand
【123】ダークハンド_パリィ	[ 123 ] Dark Hand _ Parry
【123】ダークハンド_落下投げ	Throw [ 123 ] Dark Hand _ fall
【123】ダークハンド_背後	[ 123 ] dark hand behind _
【123】ダークハンド_背後_二撃目	[ 123 ] dark hand behind _ _ two撃目
【123】ダークハンド_強化背後	[ 123 ] dark hand behind _ strengthening
【123】ダークハンド_強化背後_二段目	[ 123 ] dark hand behind _ _ strengthening the second stage
【123】ダークハンド_パリィ後	[ 123 ] Dark Hand _ Parry after
【123】ダークハンド_パリィ後_二撃目	[ 123 ] Dark Hand Parry _ after _ two撃目
【123】ダークハンド_強化パリィ後	[ 123 ] Dark Hand _ strengthening Parry after
【123】ダークハンド_強化パリィ後_二段目	[ 123 ] Dark Hand _ strengthening Parry _ after the second stage
【123】ダークハンド_強化パリィ後_三段目	[ 123 ] Dark Hand _ strengthening Parry _ after the third stage
【123】ダークハンド_片手ダッシュ	[ 123 ] Dark Hand _ one hand dash
【123】ダークハンド_片手ステップ前	[ 123 ] Dark Hand _ one hand before
【123】ダークハンド_パリィガード	[ 123 ] Dark Hand _ Paryigado
【87】大竜骨_片手通常1	[ 87 ] large keel _ one hand usually 1
【87】大竜骨_片手通常2	[ 87 ] large keel _ one hand usually 2
【87】大竜骨_片手通常3	[ 87 ] large keel _ one hand usually 3
【87】大竜骨_片手ジャンプ1	[ 87 ] large keel _ one hand jump 1
【87】大竜骨_片手落下ループ	[ 87 ] large keel _ dropping one hand loop
【87】大竜骨_片手落下着地	[ 87 ] large keel _ dropping one hand landing
【87】大竜骨_片手タメ1	[ 87 ] large keel _ one hand Tame 1
【87】大竜骨_片手タメ2	[ 87 ] large keel _ one hand Tame 2
【87】大竜骨_左手	[ 87 ] large keel _ left hand
【87】大竜骨_片手近距離	[ 87 ] large keel _ one hand a short distance
【87】大竜骨_ガード_片手	[ 87 ] large keel guard _ _ one hand
【87】大竜骨_パリィ	[ 87 ] large keel _ Parry
【87】大竜骨_落下投げ	[ 87 ] throw large keel _ fall
【87】大竜骨_背後	[ 87 ] large keel _ behind
【87】大竜骨_背後_二撃目	[ 87 ] large keel _ _ behind two撃目
【87】大竜骨_強化背後	[ 87 ] large keel _ strengthening behind
【87】大竜骨_強化背後_二段目	[ 87 ] large keel _ strengthening behind _ two -stage
【87】大竜骨_パリィ後	[ 87 ] large keel _ Parry after
【87】大竜骨_パリィ後_二撃目	[ 87 ] Parry large keel _ after _ two撃目
【87】大竜骨_強化パリィ後	[ 87 ] large keel _ strengthening Parry after
【87】大竜骨_強化パリィ後_二段目	[ 87 ] large keel _ strengthening Parry _ after the second stage
【87】大竜骨_強化パリィ後_三段目	[ 87 ] large keel _ strengthening Parry _ after the third stage
【87】大竜骨_片手ダッシュ	[ 87 ] large keel _ one hand dash
【87】大竜骨_片手ステップ前	[ 87 ] large keel _ one hand before
【87】大竜骨_パリィガード	[ 87 ] large keel _ Paryigado
槍_片手通常1	Spear _ one hand usually 1
槍_片手通常2	Spear _ one hand usually 2
槍_片手通常3	Spear _ one hand usually 3
槍_片手ジャンプ1	Spear _ one hand jump 1
槍_片手落下ループ	Spear _ one hand fall loop
槍_片手落下着地	Spear _ one hand fall landing
槍_片手タメ1	Tame one hand spear _ 1
槍_片手タメ2	Tame one hand spear _ 2
槍_両手通常1	Spear _ both hands usually 1
槍_両手通常2	Spear _ both hands usually 2
槍_両手通常3	Spear _ both hands usually 3
槍_両手ジャンプ1	Spear _ both hands jump 1
槍_両手落下ループ	Spear _ both hands fall loop
槍_両手落下着地	Spear _ both hands fall landing
槍_両手タメ1	Spear _ both hands Tame 1
槍_両手タメ2	Spear _ both hands Tame 2
槍_左手	_ Left hand spear
槍_片手近距離	Spear _ one hand a short distance
槍_両手近距離	Spear _ both hands close range
槍_ガード_片手	Spear guard _ _ one hand
槍_ガード_両手	Spear guard _ _ both hands
槍_パリィ	Spear _ Parry
槍_ガード中攻撃	Spear _ guard during attack
槍_落下投げ	Throw spears _ fall
槍_背後	_ Spear behind
槍_強化背後	Spear _ strengthening behind
槍_パリィ後	Spear _ Parry after
槍_強化パリィ後	Spear _ strengthening Parry after
槍_強化パリィ後_二段目	Spear _ strengthening Parry _ after the second stage
槍_片手ダッシュ	_ One hand spear dash
槍_両手ダッシュ	Spear _ both hands Dash
槍_片手ステップ前	Spear _ one hand before
槍_両手ステップ前	Spear _ both hands step before
槍_パリィガード	Spear _ Paryigado
【67】パイク_片手通常1	[ 67 ] Pike _ one hand usually 1
【67】パイク_片手通常2	[ 67 ] Pike _ one hand usually 2
【67】パイク_片手通常3	[ 67 ] Pike _ one hand usually 3
【67】パイク_片手ジャンプ1	[ 67 ] Pike _ one hand jump 1
【67】パイク_片手落下ループ	[ 67 ] Pike _ dropping one hand loop
【67】パイク_片手落下着地	[ 67 ] Pike _ dropping one hand landing
【67】パイク_片手タメ1	[ 67 ] Pike _ one hand Tame 1
【67】パイク_片手タメ2	[ 67 ] Pike _ one hand Tame 2
【67】パイク_両手通常1	[ 67 ] Pike _ both hands usually 1
【67】パイク_両手通常2	[ 67 ] Pike _ both hands usually 2
【67】パイク_両手通常3	[ 67 ] Pike _ both hands usually 3
【67】パイク_両手ジャンプ1	[ 67 ] Pike _ both hands jump 1
【67】パイク_両手落下ループ	[ 67 ] Pike _ both hands fall loop
【67】パイク_両手落下着地	[ 67 ] Pike _ both hands fall landing
【67】パイク_両手タメ1	[ 67 ] Pike _ both hands Tame 1
【67】パイク_両手タメ2	[ 67 ] Pike _ both hands Tame 2
【67】パイク_左手	[ 67 ] Pike _ left hand
【67】パイク_片手近距離	[ 67 ] Pike _ one hand a short distance
【67】パイク_両手近距離	[ 67 ] Pike _ both hands close range
【67】パイク_ガード_片手	[ 67 ] Pike _ guard _ one hand
【67】パイク_ガード_両手	[ 67 ] Pike _ guard _ both hands
【67】パイク_パリィ	[ 67 ] Pike _ Parry
【67】パイク_ガード中攻撃	[ 67 ] Pike _ guard during attack
【67】パイク_落下投げ	[ 67 ] throw Pike _ fall
【67】パイク_背後	[ 67 ] Pike _ behind
【67】パイク_強化背後	[ 67 ] Pike _ strengthening behind
【67】パイク_パリィ後	[ 67 ] Pike _ Parry after
【67】パイク_強化パリィ後	[ 67 ] Pike _ strengthening Parry after
【67】パイク_強化パリィ後_二段目	[ 67 ] Pike _ strengthening Parry _ after the second stage
【67】パイク_片手ダッシュ	[ 67 ] Pike _ one hand dash
【67】パイク_片手ダッシュ(止め)	[ 67 ] Pike _ one hand dash (Set )
【67】パイク_両手ダッシュ	[ 67 ] Pike _ both hands Dash
【67】パイク_両手ダッシュ（止め）	[ 67 ] Pike _ both hands dash (Set )
【67】パイク_片手ステップ前	[ 67 ] Pike _ one hand before
【67】パイク_両手ステップ前	[ 67 ] Pike _ both hands step before
【67】パイク_パリィガード	[ 67 ] Pike _ Paryigado
【65】六目_片手通常1	[ 65 ] six eyes _ one hand usually 1
【65】六目_片手通常2	[ 65 ] six eyes _ one hand usually 2
【65】六目_片手通常3	[ 65 ] six eyes _ one hand usually 3
【65】六目_片手ジャンプ1	[ 65 ] six eyes _ one hand jump 1
【65】六目_片手落下ループ	[ 65 ] six eyes _ one hand fall loop
【65】六目_片手落下着地	[ 65 ] six eyes _ one hand fall landing
【65】六目_片手タメ1	[ 65 ] six eyes _ one hand Tame 1
【65】六目_片手タメ1_二撃目	Two撃目[ 65 ] six eyes _ one hand Tame 1_
【65】六目_片手タメ2	[ 65 ] six eyes _ one hand Tame 2
【65】六目_両手通常1	[ 65 ] six eyes _ both hands usually 1
【65】六目_両手通常2	[ 65 ] six eyes _ both hands usually 2
【65】六目_両手通常3	[ 65 ] six eyes _ both hands usually 3
【65】六目_両手ジャンプ1	[ 65 ] six eyes _ both hands jump 1
【65】六目_両手落下ループ	[ 65 ] six eyes _ both hands fall loop
【65】六目_両手落下着地	[ 65 ] six eyes _ both hands fall landing
【65】六目_両手タメ1	[ 65 ] six eyes _ both hands Tame 1
【65】六目_両手タメ2	[ 65 ] six eyes _ both hands Tame 2
【65】六目_左手	[ 65 ] six left eye _
【65】六目_片手近距離	[ 65 ] six eyes _ one hand a short distance
【65】六目_両手近距離	[ 65 ] six eyes _ both hands close range
【65】六目_ガード_片手	[ 65 ] six eye guard _ _ one hand
【65】六目_ガード_両手	[ 65 ] six eye guard _ _ both hands
【65】六目_パリィ	[ 65 ] six eye _ Parry
【65】六目_ガード中攻撃	[ 65 ] six eyes _ guard during attack
【65】六目_落下投げ	[ 65 ] threw six eyes _ fall
【65】六目_背後	[ 65 ] EYE six behind
【65】六目_強化背後	[ 65 ] six eyes _ strengthening behind
【65】六目_パリィ後	[ 65 ] six EYE Parry after
【65】六目_強化パリィ後	[ 65 ] six eyes _ strengthening Parry after
【65】六目_強化パリィ後_二段目	[ 65 ] six eyes _ strengthening Parry _ after the second stage
【65】六目_片手ダッシュ	[ 65 ] six eyes _ one hand dash
【65】六目_両手ダッシュ	[ 65 ] six eyes _ both hands Dash
【65】六目_片手ステップ前	[ 65 ] six eyes _ one hand before
【65】六目_両手ステップ前	[ 65 ] six eyes _ both hands step before
【65】六目_パリィガード	[ 65 ] six eye _ Paryigado
【65】六目_魔法剣	[ 65 ] six EYE magic sword
【68】竜狩りの槍_片手通常1	Spear _ one hand usually one of [ 68 ] dragon hunt
【68】竜狩りの槍_片手通常2	Spear _ one hand usually 2 [ 68 ] of dragon hunting
【68】竜狩りの槍_片手通常3	Spear _ one hand usually 3 of [ 68 ] dragon hunt
【68】竜狩りの槍_片手ジャンプ1	Spear _ one hand jump of 1 [ 68 ] dragon hunt
【68】竜狩りの槍_片手落下ループ	Spear _ one hand loop of falling [ 68 ] dragon hunt
【68】竜狩りの槍_片手落下着地	Spear _ one hand landing fall of [ 68 ] dragon hunt
【68】竜狩りの槍_片手タメ1	Tame one hand spear _ 1 [ 68 ] of dragon hunting
【68】竜狩りの槍_片手タメ2	Tame one hand spear _ 2 [ 68 ] dragon hunt
【68】竜狩りの槍_片手タメ1／魔法使用時	Spear _ one hand Tame 1 / magic when using [ 68 ] dragon hunt
【68】竜狩りの槍_片手タメ2／魔法使用時	Tame one hand spear _ 2 / magic when using [ 68 ] dragon hunt
【68】竜狩りの槍_両手通常1	Spear _ both hands usually one of [ 68 ] dragon hunt
【68】竜狩りの槍_両手通常2	Spear _ both hands usually 2 of [ 68 ] dragon hunt
【68】竜狩りの槍_両手通常3	Spear _ both hands usually 3 of [ 68 ] dragon hunt
【68】竜狩りの槍_両手ジャンプ1	Spear _ both hands jump of 1 [ 68 ] dragon hunt
【68】竜狩りの槍_両手落下ループ	Spear _ both hands fall loop of [ 68 ] dragon hunt
【68】竜狩りの槍_両手落下着地	Spear _ both hands fall landing of [ 68 ] dragon hunt
【68】竜狩りの槍_両手タメ1	Spear _ both hands Tame 1 of [ 68 ] dragon hunt
【68】竜狩りの槍_両手タメ2	Spear _ both hands Tame 2 of [ 68 ] dragon hunt
【68】竜狩りの槍_左手	_ Left hand spear of [ 68 ] dragon hunt
【68】竜狩りの槍_片手近距離	Spear _ one hand a short distance of [ 68 ] dragon hunt
【68】竜狩りの槍_両手近距離	Spear _ short distance of both hands [ 68 ] dragon hunt
【68】竜狩りの槍_ガード_片手	Spear guard _ _ one hand of [ 68 ] dragon hunt
【68】竜狩りの槍_ガード_両手	Spear guard _ _ both hands of [ 68 ] dragon hunt
【68】竜狩りの槍_パリィ	_ Spear of Parry [ 68 ] dragon hunt
【68】竜狩りの槍_ガード中攻撃	Spear _ guard during attack of [ 68 ] dragon hunt
【68】竜狩りの槍_落下投げ	Throw spear _ fall of [ 68 ] dragon hunt
【68】竜狩りの槍_背後	_ Behind the spear [ 68 ] dragon hunt
【68】竜狩りの槍_強化背後	Spear behind _ strengthening of [ 68 ] dragon hunt
【68】竜狩りの槍_パリィ後	Parry spear _ After the 68 ] dragon hunt
【68】竜狩りの槍_強化パリィ後	Spear _ strengthening Parry after [ 68 ] dragon hunt
【68】竜狩りの槍_強化パリィ後_二段目	Spear _ strengthening Parry _ after the second stage of [ 68 ] dragon hunt
【68】竜狩りの槍_片手ダッシュ	_ One hand spear dash of [ 68 ] dragon hunt
【68】竜狩りの槍_両手ダッシュ	Spear _ dash of both hands [ 68 ] dragon hunt
【68】竜狩りの槍_片手ステップ前	Spear _ one hand before [ 68 ] dragon hunt
【68】竜狩りの槍_両手ステップ前	Spear _ both hands before the step [ 68 ] dragon hunt
【68】竜狩りの槍_パリィガード	Spear _ Paryigado of [ 68 ] dragon hunt
【68】竜狩りの槍_魔法剣	Spear _ magic sword of [ 68 ] dragon hunt
【63】パルチザン_片手通常1	[ 63 ] partisans _ one hand usually 1
【63】パルチザン_片手通常2	[ 63 ] partisans _ one hand usually 2
【63】パルチザン_片手通常3	[ 63 ] partisans _ one hand usually 3
【63】パルチザン_片手ジャンプ1	[ 63 ] partisans _ one hand jump 1
【63】パルチザン_片手落下ループ	[ 63 ] partisans _ one hand fall loop
【63】パルチザン_片手落下着地	[ 63 ] partisans _ one hand fall landing
【63】パルチザン_片手タメ1	[ 63 ] partisans _ one hand Tame 1
【63】パルチザン_片手タメ2	[ 63 ] partisans _ one hand Tame 2
【63】パルチザン_両手通常1	[ 63 ] partisans _ both hands usually 1
【63】パルチザン_両手通常2	[ 63 ] partisans _ both hands usually 2
【63】パルチザン_両手通常3	[ 63 ] partisans _ both hands usually 3
【63】パルチザン_両手ジャンプ1	[ 63 ] partisans _ both hands jump 1
【63】パルチザン_両手落下ループ	[ 63 ] partisans _ both hands fall loop
【63】パルチザン_両手落下着地	[ 63 ] partisans _ both hands fall landing
【63】パルチザン_両手タメ1	[ 63 ] partisans _ both hands Tame 1
【63】パルチザン_両手タメ2	[ 63 ] partisans _ both hands Tame 2
【63】パルチザン_左手	[ 63 ] partisans left hand _
【63】パルチザン_片手近距離	[ 63 ] partisans _ one hand a short distance
【63】パルチザン_両手近距離	[ 63 ] partisans _ both hands close range
【63】パルチザン_ガード_片手	[ 63 ] partisans _ guard _ one hand
【63】パルチザン_ガード_両手	[ 63 ] partisans _ guard _ both hands
【63】パルチザン_パリィ	[ 63 ] partisan _ Parry
【63】パルチザン_ガード中攻撃	[ 63 ] partisans _ guard during attack
【63】パルチザン_落下投げ	[ 63 ] throw partisan _ fall
【63】パルチザン_背後	[ 63 ] partisan _ behind
【63】パルチザン_強化背後	[ 63 ] partisans _ strengthening behind
【63】パルチザン_パリィ後	[ 63 ] partisans _ Parry after
【63】パルチザン_強化パリィ後	[ 63 ] partisans _ strengthening Parry after
【63】パルチザン_強化パリィ後_二段目	[ 63 ] partisans _ strengthening Parry _ after the second stage
【63】パルチザン_片手ダッシュ	[ 63 ] partisans _ one hand dash
【63】パルチザン_両手ダッシュ	[ 63 ] partisans _ both hands Dash
【63】パルチザン_片手ステップ前	[ 63 ] partisans _ one hand before
【63】パルチザン_両手ステップ前	[ 63 ] partisans _ both hands step before
【63】パルチザン_パリィガード	[ 63 ] partisan _ Paryigado
【64】デーモンの槍_片手通常1	Spear _ one hand usually one of [ 64 ] daemon
【64】デーモンの槍_片手通常2	Spear _ one hand usually 2 of 64 ] daemon
【64】デーモンの槍_片手通常3	Spear _ one hand usually 3 of [ 64 ] daemon
【64】デーモンの槍_片手ジャンプ1	Spear _ one hand jump of 1 [ 64 ] daemon
【64】デーモンの槍_片手落下ループ	Spear _ one hand loop of falling [ 64 ] daemon
【64】デーモンの槍_片手落下着地	Spear _ one hand landing fall of [ 64 ] daemon
【64】デーモンの槍_片手タメ1	Spear _ one hand Tame 1 of 64 ] daemon
【64】デーモンの槍_片手タメ2	Tame one hand spear _ 2 [ 64 ] daemon
【64】デーモンの槍_両手通常1	Spear _ both hands usually one of [ 64 ] daemon
【64】デーモンの槍_両手通常2	Spear _ both hands usually 2 of [ 64 ] daemon
【64】デーモンの槍_両手通常3	Spear _ both hands usually 3 of [ 64 ] daemon
【64】デーモンの槍_両手ジャンプ1	Spear _ both hands jump of 1 [ 64 ] daemon
【64】デーモンの槍_両手落下ループ	Spear _ both hands fall loop of [ 64 ] daemon
【64】デーモンの槍_両手落下着地	Spear _ both hands fall landing of [ 64 ] daemon
【64】デーモンの槍_両手タメ1	Spear _ both hands Tame 1 of [ 64 ] daemon
【64】デーモンの槍_両手タメ2	Spear _ both hands Tame 2 of [ 64 ] daemon
【64】デーモンの槍_左手	_ Left hand spear of [ 64 ] daemon
【64】デーモンの槍_片手近距離	Spear _ short distance of one hand [ 64 ] daemon
【64】デーモンの槍_両手近距離	Spear _ short distance of both hands [ 64 ] daemon
【64】デーモンの槍_ガード_片手	Spear guard _ _ one hand of [ 64 ] daemon
【64】デーモンの槍_ガード_両手	Spear guard _ _ both hands of [ 64 ] daemon
【64】デーモンの槍_パリィ	_ Spear of Parry [ 64 ] daemon
【64】デーモンの槍_ガード中攻撃	Spear _ guard during attack of [ 64 ] daemon
【64】デーモンの槍_落下投げ	Throw spear _ fall of [ 64 ] daemon
【64】デーモンの槍_背後	_ Behind the spear [ 64 ] daemon
【64】デーモンの槍_強化背後	Spear behind _ strengthening of [ 64 ] daemon
【64】デーモンの槍_パリィ後	Parry spear _ After the 64 ] daemon
【64】デーモンの槍_強化パリィ後	Spear _ strengthening Parry after [ 64 ] daemon
【64】デーモンの槍_強化パリィ後_二段目	Spear _ strengthening Parry _ after the second stage of [ 64 ] daemon
【64】デーモンの槍_片手ダッシュ	_ One hand spear dash of [ 64 ] daemon
【64】デーモンの槍_両手ダッシュ	Spear _ dash of both hands [ 64 ] daemon
【64】デーモンの槍_片手ステップ前	Spear _ one hand before [ 64 ] daemon
【64】デーモンの槍_両手ステップ前	Spear _ both hands before the step [ 64 ] daemon
【64】デーモンの槍_パリィガード	Spear _ Paryigado of [ 64 ] daemon
【66】銀騎士の槍_片手通常1	Spear _ one hand usually one of [ 66 ] Silver Knight
【66】銀騎士の槍_片手通常2	Spear _ one hand usually 2 [ 66 ] of silver knight
【66】銀騎士の槍_片手通常3	Spear _ one hand usually 3 of [ 66 ] Silver Knight
【66】銀騎士の槍_片手ジャンプ1	Spear _ one hand jump of 1 [ 66 ] Silver Knight
【66】銀騎士の槍_片手落下ループ	Spear _ one hand loop of falling [ 66 ] Silver Knight
【66】銀騎士の槍_片手落下着地	Spear _ one hand landing fall of [ 66 ] Silver Knight
【66】銀騎士の槍_片手タメ1	Tame one hand spear _ 1 of the 66 silver knight
【66】銀騎士の槍_片手タメ2	Tame one hand spear _ 2 [ 66 ] Silver Knight
【66】銀騎士の槍_両手通常1	Spear _ both hands usually one of [ 66 ] Silver Knight
【66】銀騎士の槍_両手通常2	Spear _ both hands usually 2 of [ 66 ] Silver Knight
【66】銀騎士の槍_両手通常3	Spear _ both hands usually 3 of [ 66 ] Silver Knight
【66】銀騎士の槍_両手ジャンプ1	Spear _ both hands jump of 1 [ 66 ] Silver Knight
【66】銀騎士の槍_両手落下ループ	Spear _ both hands fall loop of [ 66 ] Silver Knight
【66】銀騎士の槍_両手落下着地	Spear _ both hands fall landing of [ 66 ] Silver Knight
【66】銀騎士の槍_両手タメ1	Spear _ both hands Tame 1 of [ 66 ] Silver Knight
【66】銀騎士の槍_両手タメ2	Spear _ both hands Tame 2 of [ 66 ] Silver Knight
【66】銀騎士の槍_左手	_ Left hand spear of [ 66 ] Silver Knight
【66】銀騎士の槍_片手近距離	Spear _ one hand a short distance of [ 66 ] Silver Knight
【66】銀騎士の槍_両手近距離	Spear _ short distance of both hands [ 66 ] Silver Knight
【66】銀騎士の槍_ガード_片手	Spear guard _ _ one hand [ 66 ] of silver knight
【66】銀騎士の槍_ガード_両手	Spear guard _ _ both hands of [ 66 ] Silver Knight
【66】銀騎士の槍_パリィ	_ Spear of Parry [ 66 ] Silver Knight
【66】銀騎士の槍_ガード中攻撃	Spear _ guard during attack of [ 66 ] Silver Knight
【66】銀騎士の槍_落下投げ	Throw spear _ fall of [ 66 ] Silver Knight
【66】銀騎士の槍_背後	_ Behind the spear [ 66 ] Silver Knight
【66】銀騎士の槍_強化背後	Spear behind _ strengthening of [ 66 ] Silver Knight
【66】銀騎士の槍_パリィ後	Parry spear _ After the 66 silver knight
【66】銀騎士の槍_強化パリィ後	Spear _ strengthening Parry after [ 66 ] Silver Knight
【66】銀騎士の槍_強化パリィ後_二段目	Spear _ strengthening Parry _ after the second stage of [ 66 ] Silver Knight
【66】銀騎士の槍_片手ダッシュ	_ One hand spear dash of [ 66 ] Silver Knight
【66】銀騎士の槍_両手ダッシュ	Spear _ dash of both hands [ 66 ] Silver Knight
【66】銀騎士の槍_片手ステップ前	Spear _ one hand before [ 66 ] Silver Knight
【66】銀騎士の槍_両手ステップ前	Spear _ both hands before the step [ 66 ] Silver Knight
【66】銀騎士の槍_パリィガード	Spear _ Paryigado of [ 66 ] Silver Knight
【134】ガーデンフォーク_片手通常1	[ 134 ] Garden fork _ one hand usually 1
【134】ガーデンフォーク_片手通常2	[ 134 ] Garden fork _ one hand usually 2
【134】ガーデンフォーク_片手通常3	[ 134 ] Garden fork _ one hand usually 3
【134】ガーデンフォーク_片手ジャンプ1	[ 134 ] Garden fork _ one hand jump 1
【134】ガーデンフォーク_片手落下ループ	[ 134 ] Garden fork _ dropping one hand loop
【134】ガーデンフォーク_片手落下着地	[ 134 ] Garden fork _ dropping one hand landing
【134】ガーデンフォーク_片手タメ1	[ 134 ] Garden fork _ one hand Tame 1
【134】ガーデンフォーク_片手タメ2	[ 134 ] Garden fork _ one hand Tame 2
【134】ガーデンフォーク_両手通常1	[ 134 ] Garden fork _ both hands usually 1
【134】ガーデンフォーク_両手通常2	[ 134 ] Garden fork _ both hands usually 2
【134】ガーデンフォーク_両手通常3	[ 134 ] Garden fork _ both hands usually 3
【134】ガーデンフォーク_両手ジャンプ1	[ 134 ] Garden fork _ both hands jump 1
【134】ガーデンフォーク_両手落下ループ	[ 134 ] Garden fork _ both hands fall loop
【134】ガーデンフォーク_両手落下着地	[ 134 ] Garden fork _ both hands fall landing
【134】ガーデンフォーク_両手タメ	[ 134 ] Garden fork _ both hands Tame
【134】ガーデンフォーク_両手タメ_空振り	[ 134 ] Garden fork _ hands _ Tame swing away
【134】ガーデンフォーク_左手	[ 134 ] Garden fork _ left hand
【134】ガーデンフォーク_片手近距離	[ 134 ] Garden fork _ one hand a short distance
【134】ガーデンフォーク_両手近距離	[ 134 ] Garden fork _ both hands close range
【134】ガーデンフォーク_ガード_片手	[ 134 ] Garden fork guard _ _ one hand
【134】ガーデンフォーク_ガード_両手	[ 134 ] Garden fork guard _ _ both hands
【134】ガーデンフォーク_パリィ	[ 134 ] Garden fork _ Parry
【134】ガーデンフォーク_ガード中攻撃	[ 134 ] Garden fork _ guard during attack
【134】ガーデンフォーク_落下投げ	Throw [ 134 ] Garden fork _ fall
【134】ガーデンフォーク_背後	[ 134 ] Garden fork _ behind
【134】ガーデンフォーク_強化背後	[ 134 ] Garden fork _ strengthening behind
【134】ガーデンフォーク_パリィ後	[ 134 ] Garden fork _ Parry after
【134】ガーデンフォーク_強化パリィ後	[ 134 ] Garden fork _ strengthening Parry after
【134】ガーデンフォーク_強化パリィ後_二段目	[ 134 ] Garden fork _ strengthening Parry _ after the second stage
【134】ガーデンフォーク_片手ダッシュ	[ 134 ] Garden fork _ one hand dash
【134】ガーデンフォーク_両手ダッシュ	[ 134 ] Garden fork _ both hands Dash
【134】ガーデンフォーク_片手ステップ前	[ 134 ] Garden fork _ one hand before
【134】ガーデンフォーク_両手ステップ前	[ 134 ] Garden fork _ both hands step before
【134】ガーデンフォーク_パリィガード	[ 134 ] Garden fork _ Paryigado
斧槍_片手通常1	Onoyari _ one hand usually 1
斧槍_片手通常2	Onoyari _ one hand usually 2
斧槍_片手通常3	Onoyari _ one hand usually 3
斧槍_片手ジャンプ1	Onoyari _ one hand jump 1
斧槍_片手落下ループ	Onoyari _ dropping one hand loop
斧槍_片手落下着地	Onoyari _ dropping one hand landing
斧槍_片手タメ1	Onoyari _ one hand Tame 1
斧槍_片手タメ2	Onoyari _ one hand Tame 2
斧槍_両手通常1	Onoyari _ both hands usually 1
斧槍_両手通常2	Onoyari _ both hands usually 2
斧槍_両手通常3	Onoyari _ both hands usually 3
斧槍_両手ジャンプ1	Onoyari _ both hands jump 1
斧槍_両手落下ループ	Onoyari _ both hands fall loop
斧槍_両手落下着地	Onoyari _ both hands fall landing
斧槍_両手タメ1	Onoyari _ both hands Tame 1
斧槍_両手タメ1_二撃目	Two撃目Onoyari _ both hands Tame 1_
斧槍_両手タメ2	Onoyari _ both hands Tame 2
斧槍_左手	Onoyari _ left hand
斧槍_片手近距離	Onoyari _ one hand a short distance
斧槍_両手近距離	Onoyari _ both hands close range
斧槍_ガード_片手	Onoyari _ guard _ one hand
斧槍_ガード_両手	Onoyari _ guard _ both hands
斧槍_パリィ	Onoyari _ Parry
斧槍_落下投げ	Throw Onoyari _ fall
斧槍_背後	Onoyari _ behind
斧槍_強化背後	Onoyari _ strengthening behind
斧槍_パリィ後	Onoyari _ Parry after
斧槍_強化パリィ後	Onoyari _ strengthening Parry after
斧槍_強化パリィ後_二段目	Onoyari _ strengthening Parry _ after the second stage
斧槍_片手ダッシュ	Onoyari _ one hand dash
斧槍_両手ダッシュ	Onoyari _ both hands Dash
斧槍_片手ステップ前	Onoyari _ one hand before
斧槍_両手ステップ前	Onoyari _ both hands step before
斧槍_パリィガード	Onoyari _ Paryigado
【　】サイズ（斬撃）_片手通常1	[ Size ] ( slashing ) _ one hand usually 1
【　】サイズ（斬撃）_片手通常2	[ Size ] ( slashing ) _ one hand usually 2
【　】サイズ（斬撃）_片手通常3	[ Size ] ( slashing ) _ one hand usually 3
【　】サイズ（斬撃）_片手ジャンプ1	[ Size ] ( slashing ) _ one hand jump 1
【　】サイズ（斬撃）_片手落下ループ	[ Size ] ( slashing ) _ dropping one hand loop
【　】サイズ（斬撃）_片手落下着地	[ Size ] ( slashing ) _ dropping one hand landing
【　】サイズ（斬撃）_片手タメ1	[ Size ] ( slashing ) _ one hand Tame 1
【　】サイズ（斬撃）_片手タメ2	[ Size ] ( slashing ) _ one hand Tame 2
【　】サイズ（斬撃）_両手通常1	[ Size ] ( slashing ) _ both hands usually 1
【　】サイズ（斬撃）_両手通常2	[ Size ] ( slashing ) _ both hands usually 2
【　】サイズ（斬撃）_両手通常3	[ Size ] ( slashing ) _ both hands usually 3
【　】サイズ（斬撃）_両手ジャンプ1	[ Size ] ( slashing ) _ both hands jump 1
【　】サイズ（斬撃）_両手落下ループ	[ Size ] ( slashing ) _ both hands fall loop
【　】サイズ（斬撃）_両手落下着地	[ Size ] ( slashing ) _ both hands fall landing
【　】サイズ（斬撃）_両手タメ1	[ Size ] ( slashing ) _ both hands Tame 1
【　】サイズ（斬撃）_両手タメ1_二撃目	Two撃目( slashing ) _ both hands Tame 1_ [ ] size
【　】サイズ（斬撃）_両手タメ2	[ Size ] ( slashing ) _ both hands Tame 2
【　】サイズ（斬撃）_左手	[ Size ] ( slashing ) _ left hand
【　】サイズ（斬撃）_片手近距離	[ Size ] ( slashing ) _ one hand a short distance
【　】サイズ（斬撃）_両手近距離	[ Size ] ( slashing ) _ both hands close range
【　】サイズ（斬撃）_ガード_片手	[ Size ] ( slashing ) _ guard _ one hand
【　】サイズ（斬撃）_ガード_両手	[ Size ] ( slashing ) _ guard _ both hands
【　】サイズ（斬撃）_パリィ	[ Size ] ( slashing ) _ Parry
